Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Repeticiones totales,Series totales,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-07-02 09:17:45,false,"Bilbao - Contrarreloj","4.09","259","00:22:03","155","189","3.2","161","186","5:24","3:56","17","20","1.14","5:29","300","0.0","279","395","3,592","--","--","No","00:02:01.0","6","00:22:01","00:22:03","13","26"
Carrera,2025-07-01 09:06:42,false,"Bilbao - Carrera mientras está cansado","5.59","362","00:32:13","148","169","3.3","162","197","5:45","4:00","35","51","1.07","5:47","273","0.0","268","384","5,222","--","--","No","00:00:52.5","8","00:32:04","00:32:13","14","34"
Carrera,2025-06-29 12:28:46,false,"Bilbao - Carrera","8.46","614","00:54:55","156","174","3.6","156","168","6:30","4:45","45","38","0.99","6:29","256","0.0","244","358","8,566","--","--","No","00:01:10.4","10","00:53:13","00:54:55","14","43"
Entrenamiento en cinta,2025-06-25 12:26:13,false,"Trote suave","3.80","252","00:24:03","139","153","2.8","156","210","6:20","5:40","--","--","1.00","--","247","0.0","240","277","3,744","--","--","No","00:00:00.4","5","00:23:52","00:24:03","--","--"
Carrera,2025-06-24 18:39:03,false,"Bilbao - Carrera mientras está cansado","7.02","485","00:43:05","155","192","3.4","158","188","6:08","3:46","19","24","1.03","6:11","267","0.0","254","398","6,802","--","--","No","00:01:31.8","9","00:42:18","00:43:05","11","29"
Carrera,2025-06-19 10:13:47,false,"Bilbao - Trote suave","5.23","342","00:33:46","142","155","2.7","158","165","6:28","4:49","25","53","0.98","6:35","243","0.0","238","335","5,322","--","--","No","00:00:57.6","7","00:33:21","00:33:46","9","37"
Carrera,2025-06-17 12:46:18,false,"Bilbao - Carrera mientras está cansado","5.44","370","00:32:17","148","175","3.2","159","183","5:56","4:44","23","36","1.06","6:03","270","0.0","265","361","5,166","--","--","No","00:01:39.5","7","00:31:50","00:32:17","2","20"
Carrera,2025-06-15 19:57:14,false,"Bilbao - Carrera de referencia","6.15","389","00:35:56","141","169","3.0","163","180","5:50","4:02","30","54","1.05","5:53","283","0.0","273","400","5,824","--","--","No","00:00:28.7","9","00:35:54","00:35:56","19","43"
Carrera,2025-06-12 07:34:29,false,"Carrera","3.47","238","00:21:55","141","159","2.7","152","171","6:19","2:41","9","14","1.04","6:18","262","0.0","247","606","3,410","--","--","No","00:02:45.4","4","00:21:02","00:22:04","7","16"
Carrera,2025-05-24 12:41:33,false,"Bilbao Carrera","3.47","224","00:18:07","153","166","3.0","165","172","5:13","4:31","24","20","1.16","5:12","311","0.0","308","384","2,976","--","--","No","00:02:26.7","4","00:18:05","00:18:07","14","26"
