Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-04-25 16:36:40,2.01,215,00:13:54,161,181,175,183,6:56,6:19,26,13,1.33,0.0,00:03.03,3,00:13:49,00:13:54,606,624
Running,2023-04-20 18:04:38,4.01,491,00:29:57,168,184,172,181,7:29,6:37,36,23,1.25,0.0,00:02.15,5,00:29:56,00:29:57,600,625
Running,2023-04-19 17:46:13,2.01,229,00:13:31,172,191,178,191,6:44,6:09,23,23,1.34,0.0,00:02.24,3,00:13:24,00:13:31,602,614
Running,2023-04-18 18:23:08,3.20,365,00:22:22,165,192,175,202,6:59,5:12,30,16,1.32,0.0,01:06.03,4,00:22:17,00:22:22,605,623
Running,2023-04-17 18:05:28,3.01,376,00:22:56,166,182,173,187,7:38,6:41,30,7,1.22,0.0,00:03.09,4,00:22:56,00:22:56,531,564
Running,2023-04-11 17:45:56,2.01,225,00:14:38,156,179,169,177,7:16,6:45,20,7,1.31,0.0,00:03.46,3,00:14:32,00:14:38,606,622
Running,2023-03-28 17:14:12,2.50,277,00:18:44,152,164,168,182,7:30,6:31,66,39,1.27,0.0,03:33.49,3,00:18:40,00:18:44,606,636
Running,2023-03-26 14:52:51,2.01,197,00:14:08,145,158,173,187,7:02,6:14,13,10,1.32,0.0,00:02.51,3,00:14:02,00:14:08,602,616
Running,2023-03-23 17:54:04,2.03,238,00:14:10,169,191,173,187,6:59,6:12,7,--,1.33,0.0,00:10.00,3,00:14:02,00:14:10,712,724
Running,2023-01-13 09:41:31,1.58,169,00:11:15,153,172,177,189,7:06,6:43,56,26,1.28,0.0,04:05.48,2,00:11:14,00:11:15,646,715
Running,2023-01-10 15:48:18,3.17,344,00:22:16,158,169,175,189,7:01,6:24,105,108,1.31,0.0,01:06.32,4,00:22:14,00:22:16,623,688
Running,2023-01-09 15:33:10,2.51,237,00:17:11,146,174,176,195,6:51,6:19,98,62,1.34,0.0,03:20.15,3,00:17:10,00:25:09,638,707
Running,2023-01-04 14:59:40,2.01,220,00:13:18,171,189,176,193,6:38,5:58,66,69,1.38,0.0,00:02.25,3,00:13:18,00:13:18,631,701
Running,2022-12-18 13:35:17,3.14,302,00:23:25,141,163,167,236,7:28,6:16,59,16,1.29,0.0,01:10.45,4,00:23:10,00:28:08,314,383
Running,2022-12-08 13:29:58,2.01,191,00:13:24,149,163,177,189,6:40,5:58,167,121,1.36,0.0,00:03.06,3,00:13:20,00:13:24,"1,161","1,220"
Running,2022-12-01 15:18:17,4.01,420,00:29:16,152,169,177,191,7:18,6:25,154,115,1.24,0.0,00:02.36,5,00:29:02,00:29:35,"1,127","1,175"
Running,2022-11-30 16:30:12,2.04,212,00:14:55,151,168,172,238,7:18,3:30,69,43,1.28,0.0,00:07.33,4,00:14:46,00:24:20,"1,127","1,172"
Running,2022-11-27 14:31:00,4.52,516,00:34:51,164,187,167,236,7:43,3:21,131,118,1.27,0.0,00:03.04,9,00:34:06,00:42:17,"1,121","1,172"
Running,2022-11-25 14:44:10,3.07,289,00:19:47,160,179,174,227,6:26,4:14,108,125,1.44,0.0,00:17.39,4,00:19:29,00:30:57,619,694
Running,2022-11-24 09:19:49,0.29,16,00:01:24.4,135,161,182,204,4:53,4:33,--,7,1.81,0.0,01:24.40,1,00:01:19,00:01:24.4,665,682
Running,2022-11-21 15:46:01,4.01,437,00:28:16,164,178,176,188,7:03,5:59,112,98,1.3,0.0,00:04.39,5,00:28:14,00:28:16,"1,119","1,178"
Running,2022-11-19 13:34:17,2.01,219,00:15:03,155,176,173,183,7:30,6:50,79,43,1.24,0.0,00:02.11,3,00:14:57,00:15:03,"1,124","1,171"
Running,2022-11-10 16:14:31,6.01,716,00:44:43,170,189,175,236,7:27,6:15,141,131,1.23,0.0,00:01.83,7,00:44:42,00:44:43,"1,100","1,154"
Running,2022-11-09 16:48:45,2.01,202,00:12:55,169,186,180,191,6:25,6:01,49,43,1.39,0.0,00:02.75,3,00:12:55,00:12:55,"1,111","1,162"
Running,2022-11-07 15:17:39,4.01,451,00:29:08,166,182,171,181,7:16,6:46,108,82,1.29,0.0,00:02.04,5,00:29:06,00:29:08,"1,116","1,157"
Running,2022-11-03 14:06:46,4.01,452,00:28:29,168,188,177,187,7:06,6:30,144,115,1.28,0.0,00:03.19,5,00:28:20,00:28:29,"1,112","1,163"
Running,2022-10-31 17:22:42,2.34,264,00:17:50,157,170,173,222,7:37,6:13,69,56,1.22,0.0,02:34.26,3,00:17:45,00:17:50,"1,110","1,153"
Running,2022-10-14 16:33:17,3.50,387,00:25:07,164,186,173,183,7:10,5:00,95,92,1.29,0.0,03:31.04,4,00:25:05,00:25:07,"1,108","1,160"
Running,2022-09-23 17:37:53,3.57,398,00:26:34,161,176,172,183,7:26,6:28,102,89,1.26,0.0,03:59.51,4,00:26:26,00:26:34,"1,121","1,166"
Running,2022-09-21 17:41:48,4.01,468,00:29:37,169,182,171,181,7:23,6:48,72,89,1.27,0.0,00:02.70,5,00:29:35,00:29:37,"1,103","1,146"
Running,2022-09-15 16:42:15,4.01,465,00:29:50,167,188,177,188,7:26,6:23,112,112,1.22,0.0,00:03.04,5,00:29:50,00:29:50,"1,103","1,157"
Running,2022-09-14 11:47:33,2.00,220,00:14:05,168,189,175,225,7:02,6:26,46,43,1.3,0.0,00:01.61,3,00:14:04,00:14:05,"1,112","1,152"
Running,2022-09-09 13:43:32,2.00,225,00:14:29,166,185,179,238,7:13,6:22,46,52,1.24,0.0,00:01.43,3,00:14:28,00:14:29,"1,107","1,152"
