name,activityType,startTimeLocal,locationName,duration,distance,elevationGain,elevationLoss,avgHr,maxHr,avgDoubleCadence,maxDoubleCadence,avgStrideLength,calories,bmrCalories,startLatitude,startLongitude
Santurce Carrera,running,1756932912000.0,Santurce,1077109.0087890625,301077.001953125,700.0,3000.0,170.0,188.0,161.859375,178.0,103.60733390729364,775.1537,83.8004,43.32587946206331,-3.0297316890209913
Santurce Carrera,running,1756759754000.0,Santurce,667887.0239257812,160590.00244140625,1900.0,3000.0,168.0,184.0,161.375,184.0,89.42458730586064,460.90219999999994,54.470259999999996,43.326165452599525,-3.0302799493074417
Santurce Carrera,running,1756658118000.0,Santurce,1630113.037109375,403437.98828125,1300.0,3900.0,157.0,186.0,159.921875,179.0,92.79996594743025,1068.4551,129.89061999999998,43.32550780847669,-3.030564682558179
Santurce Carrera,running,1756329332000.0,Santurce,1694811.03515625,404558.0078125,4700.0,4200.0,161.0,185.0,159.0625,181.0,90.0870247750803,1135.49542,134.08064,43.32571676932275,-3.0301896762102842
Vitoria Carrera,running,1756154695000.0,Vitoria,1201816.0400390625,303905.0048828125,700.0,1100.0,164.0,180.0,162.328125,172.0,93.5171613335749,804.4838399999999,96.37046,42.85197009332478,-2.67330433242023
Santurce Carrera,running,1756056259000.0,Santurce,1992807.0068359375,474779.00390625,3400.0,3600.0,160.0,192.0,159.078125,231.0,89.83970907866194,1290.52616,159.22075999999998,43.326516319066286,-3.0308275390416384
Santurce - Base,running,1755637680000.0,Santurce,1948935.05859375,442222.998046875,4600.0,4700.0,163.0,187.0,155.140625,180.0,88.00770373604865,1303.09622,155.03073999999998,43.325687600299716,-3.030800297856331
Santurce Carrera,running,1752875297000.0,Santurce,1236922.9736328125,306006.005859375,800.0,4300.0,160.0,180.0,161.5,188.0,91.88741585238415,821.2439199999999,100.56047999999998,43.32585498690605,-3.030583458021283
Santurce Carrera,running,1752527556000.0,Santurce,1836348.0224609375,434960.986328125,4900.0,4600.0,160.0,187.0,161.328125,180.0,88.07384118179694,1223.4858399999998,146.6507,43.326014913618565,-3.029051413759589
Bilbao Carrera,running,1751922628000.0,Bilbao,1743645.99609375,399893.994140625,500.0,1000.0,161.0,191.0,140.75,181.0,98.4485408046892,1160.63554,138.27066,43.266858123242855,-2.9276604764163494
Bilbao Carrera,running,1751660733000.0,Bilbao,4017778.076171875,1001396.97265625,1400.0,1800.0,173.0,191.0,161.78125,171.0,92.38271560203721,2845.0235799999996,322.63154,43.26703724451363,-2.9278192296624184
Santurce Carrera,running,1751278534000.0,Santurce,3001167.96875,728956.005859375,2400.0,4200.0,176.0,187.0,160.0625,201.0,90.95332167877947,2124.34014,238.83113999999998,43.32543748430908,-3.0304765049368143
Bilbao Carrera,running,1750365287000.0,Bilbao,2066288.0859375,507547.998046875,400.0,500.0,163.0,190.0,152.984375,172.0,96.51388494210573,1403.6566999999998,163.41078,43.26696876436472,-2.9277670942246914
Bilbao Carrera,running,1750283213000.0,Bilbao,2602386.962890625,602591.015625,600.0,400.0,160.0,190.0,158.671875,244.0,87.62463065365773,1659.2479199999998,209.50099999999998,43.26670314185321,-2.927551595494151
Santurce Carrera,running,1749499001000.0,Santurce,2393552.978515625,601624.0234375,1100.0,5100.0,160.0,187.0,161.0625,182.0,93.59775749111631,1680.1980199999998,192.74092,43.32580955699086,-3.0306157283484936
Bilbao Carrera,running,1749415451000.0,Bilbao,714843.017578125,200316.00341796875,100.0,100.0,167.0,187.0,163.34375,183.0,102.97567008647033,532.13254,58.66027999999999,43.26724545098841,-2.951445048674941
Bilbao Carrera,running,1749154401000.0,Bilbao,3934940.91796875,918919.04296875,1600.0,2700.0,163.0,190.0,157.9375,237.0,88.81164486228343,2610.38246,314.25149999999996,43.26620198786259,-2.9284143447875977
Bilbao Carrera,running,1748983189000.0,Bilbao,1360979.00390625,300191.9921875,5200.0,4800.0,159.0,191.0,160.15625,189.0,82.63764969526403,913.4243599999999,108.94051999999999,43.26473465189338,-2.929206434637308
Bilbao Carrera,running,1748381381000.0,Bilbao,1711352.05078125,399931.005859375,2300.0,900.0,156.0,184.0,159.859375,214.0,87.76132957724148,1131.3054,138.27066,43.266224786639214,-2.9284727666527033
Santurce - Base,running,1747773592000.0,Santurce,1687082.03125,399938.9892578125,3200.0,3100.0,166.0,177.0,160.4375,189.0,88.52688759275546,1194.1556999999998,138.27066,43.32630551420152,-3.030350273475051
Bilbao - Umbral,running,1747687629000.0,Bilbao,1912088.0126953125,482600.9765625,1700.0,800.0,164.0,186.0,158.3125,169.0,95.43329979261183,1361.7565,155.03073999999998,43.26624079607427,-2.928197253495455
Rethymno Carrera,running,1747301032000.0,Rethymno,1838337.0361328125,420939.013671875,1300.0,5500.0,152.0,174.0,161.921875,179.0,84.8242671288367,1185.7756599999998,150.84071999999998,35.36254414357245,24.45811215788126
Heraklion Carrera,running,1747168618000.0,Heraklion,2094243.896484375,530010.009765625,1100.0,1700.0,162.0,188.0,156.46875,187.0,97.13433350963115,1512.5972199999999,167.6008,35.34167722798884,25.130029823631048
